World,Ano,CO2
World,1750,0.012480065
World,1760,0.013481781
World,1770,0.015995078
World,1780,0.017820267
World,1790,0.02189629
World,1800,0.033286307
World,1801,0.032386728
World,1802,0.04067251
World,1803,0.029698573
World,1804,0.031827636
World,1805,0.031196972
World,1806,0.032529123
World,1807,0.035875093
World,1808,0.035049245
World,1809,0.03574179
World,1810,0.03861839
World,1811,0.03910187
World,1812,0.039486334
World,1813,0.039604392
World,1814,0.040314633
World,1815,0.041331157
World,1816,0.042843517
World,1817,0.04607607
World,1818,0.047710717
World,1819,0.046950724
World,1820,0.04639832
World,1821,0.047355454
World,1822,0.048832577
World,1823,0.050612494
World,1824,0.051373772
World,1825,0.053823054
World,1826,0.05403541
World,1827,0.05747962
World,1828,0.057907857
World,1829,0.0572159
World,1830,0.07627875
World,1831,0.07101679
World,1832,0.06967444
World,1833,0.070330165
World,1834,0.07464083
World,1835,0.08151876
World,1836,0.08904739
World,1837,0.08804953
World,1838,0.08733766
World,1839,0.09005479
World,1840,0.097056426
World,1841,0.0994163
World,1842,0.104824804
World,1843,0.10675982
World,1844,0.11398057
World,1845,0.12393704
World,1846,0.12545872
World,1847,0.1352484
World,1848,0.13686027
World,1849,0.14522752
World,1850,0.15385547
World,1851,0.1551192
World,1852,0.1616655
World,1853,0.16903472
World,1854,0.1983029
World,1855,0.20197801
World,1856,0.21502298
World,1857,0.21674007
World,1858,0.21971354
World,1859,0.23261489
World,1860,0.2545674
World,1861,0.26710698
World,1862,0.27152237
World,1863,0.28880972
World,1864,0.310433
World,1865,0.3285574
World,1866,0.33789563
World,1867,0.360665
World,1868,0.36957112
World,1869,0.3909979
World,1870,0.39751005
World,1871,0.4210403
World,1872,0.463626
World,1873,0.4899655
World,1874,0.45645648
World,1875,0.4924599
World,1876,0.49678734
World,1877,0.5038972
World,1878,0.50514203
World,1879,0.5378026
World,1880,0.6031159
World,1881,0.62059504
World,1882,0.6510816
World,1883,0.68749815
World,1884,0.69031864
World,1885,0.69036317
World,1886,0.6959667
World,1887,0.7253166
World,1888,0.7970655
World,1889,0.79146993
World,1890,0.85456306
World,1891,0.88967717
World,1892,0.89069086
World,1893,0.87403756
World,1894,0.8988176
World,1895,0.946655
World,1896,0.97138184
World,1897,1.0107269
World,1898,1.0588747
World,1899,1.1484411
World,1900,1.199232
World,1901,1.2307372
World,1902,1.2517458
World,1903,1.3532422
World,1904,1.3571923
World,1905,1.432905
World,1906,1.4836785
World,1907,1.676299
World,1908,1.5976069
World,1909,1.6497104
World,1910,1.716262
World,1911,1.73124
World,1912,1.8065919
World,1913,1.9446292
World,1914,1.7521608
World,1915,1.7155751
World,1916,1.8405812
World,1917,1.9117817
World,1918,1.8731953
World,1919,1.6123312
World,1920,1.8576044
World,1921,1.6189123
World,1922,1.683432
World,1923,1.893368
World,1924,1.8824672
World,1925,1.8860849
World,1926,1.8362813
World,1927,1.9864538
World,1928,1.9602886
World,1929,2.084881
World,1930,1.9021566
World,1931,1.6854303
World,1932,1.5044751
World,1933,1.5680304
World,1934,1.6880137
World,1935,1.7537812
World,1936,1.9043846
World,1937,2.014623
World,1938,1.8747287
World,1939,1.9639443
World,1940,2.122051
World,1941,2.153978
World,1942,2.1315649
World,1943,2.15036
World,1944,2.1663656
World,1945,1.7885866
World,1946,1.9376519
World,1947,2.1292646
World,1948,2.2258415
World,1949,2.103328
World,1950,2.37238
World,1951,2.5092719
World,1952,2.4968188
World,1953,2.5189998
World,1954,2.522121
World,1955,2.7107303
World,1956,2.829694
World,1957,2.8642392
World,1958,2.8864362
World,1959,2.9810743
World,1960,3.1088755
World,1961,3.0682025
World,1962,3.1172154
World,1963,3.2123766
World,1964,3.3127992
World,1965,3.389065
World,1966,3.4821656
World,1967,3.5207915
World,1968,3.6382928
World,1969,3.800649
World,1970,4.031552
World,1971,4.111967
World,1972,4.2195787
World,1973,4.357756
World,1974,4.257117
World,1975,4.1897635
World,1976,4.341634
World,1977,4.387014
World,1978,4.444167
World,1979,4.4903517
World,1980,4.38398
World,1981,4.2029867
World,1982,4.094062
World,1983,4.0465407
World,1984,4.112731
World,1985,4.176523
World,1986,4.163081
World,1987,4.21461
World,1988,4.30166
World,1989,4.2841187
World,1990,4.2799
World,1991,4.296785
World,1992,4.1085906
World,1993,4.087606
World,1994,4.0692253
World,1995,4.096046
World,1996,4.163014
World,1997,4.13037
World,1998,4.0637503
World,1999,4.0926967
World,2000,4.147293
World,2001,4.1206822
World,2002,4.1582055
World,2003,4.324224
World,2004,4.4195943
World,2005,4.5122457
World,2006,4.6083193
World,2007,4.683315
World,2008,4.704022
World,2009,4.565362
World,2010,4.7678533
World,2011,4.8686357
World,2012,4.878096
World,2013,4.8592534
World,2014,4.8325562
World,2015,4.775163
World,2016,4.719525
World,2017,4.740302
World,2018,4.7850013
World,2019,4.770166
World,2020,4.4647303
World,2021,4.654845
World,2022,4.658219
